locationname,locationstatus,method,locationid,locationparentname,locationparentid,locationtype,locationtypecode,locationadminlevel,locationphysicaltype,locationphysicaltypecode,longitude,latitude
CSB Ambohimena,active,create,eb6845fa-f5d3-4a93-8622-0ef5ddf099f0,,4ba90613-46f0-479e-9b15-fbdc5a8dba4e,CSB1,csb1,5,Building,bu,,
CSB Ambohimiadana,active,create,9e97d6e6-67a7-4308-8475-49ed2ffe2767,,561a9e7a-70ca-4e4b-ace7-7d3f1773a063,CSB2,csb2,5,Building,bu,47.776,-19.163
CSB Ambohimiadana,active,create,c8f23e18-498a-48c5-a338-8f259b15d1a2,,5c77d335-7629-45f0-ae65-4748e4b21a95,CSB2,csb2,5,Building,bu,47.591,-18.209
CSB Ambohimiarintsoa,active,create,ab3fe5b7-9103-4558-9a2e-6e28b089db1a,,d4018f1e-a361-42d0-87e9-c868922f325f,CSB2,csb2,5,Building,bu,46.371,-18.593
CSB Ambohimiarivo,active,create,e7cf346b-fda6-4614-9923-254657f49961,,168d3ad4-2191-442d-ba22-afff427ad27e,CSB2,csb2,5,Building,bu,47.165,-19.524
CSB Ambohimilanja,active,create,e93fd78f-3d2f-4928-a1e4-72f3778d864a,,6b81f551-26a3-408d-b52f-8d12df4040bc,CSB2,csb2,5,Building,bu,47.043,-20.571
CSB Ambohimirary,active,create,d0d6d9ce-a483-47c1-a67b-6290271a1e86,,dbf83d9a-60b7-4fb1-83ef-6d6e069e2c24,CSB1,csb1,5,Building,bu,47.724,-19.26
CSB Ambohimitombo I,active,create,346059bc-2dac-4d28-b2a0-2f06c3fd59be,,a48d460d-9343-49af-81ae-769c47c52a58,CSB1,csb1,5,Building,bu,47.39,-20.623
CSB Ambohimitombo Ii,active,create,31f459b9-9577-40af-bf09-d129acaed7d9,,d7bb2cff-4469-4bf6-8e78-7e209e9a9a67,CSB2,csb2,5,Building,bu,47.447,-20.679
CSB Ambohimitsinjo,active,create,32aee407-bdde-4625-bbeb-a80aaf6c8448,,eef2bda8-eefb-4e47-af2e-18cfb614782e,CSB1,csb1,5,Building,bu,,
CSB Ambohimitsinjo,active,create,e8b2020e-1910-4c22-8582-60d96b04424f,,c624fabd-cf1a-4cfc-b53d-a256e7b6faf1,CSB2,csb2,5,Building,bu,49.932,-14.742
CSB Ambohimitsinjorano,active,create,8b247c76-17d8-489a-8b12-78036897609a,,6d4c51ef-0e56-4d91-b64c-1e9a44fa6523,CSB2,csb2,5,Building,bu,47.455,-18.798
CSB Ambohinaivo,active,create,5fb6235a-4593-4840-a530-24c06d79a234,,bb930466-f5a0-495c-ae4e-7b9c7391543a,CSB2,csb2,5,Building,bu,,
CSB Ambohinaorina,active,create,4cc27f72-7f8e-4a76-a9cf-100b0ce0d195,,7496e6e7-8454-49e8-ac0c-6dabbe119a5e,CSB1,csb1,5,Building,bu,47.407,-18.677
CSB Ambohipaky,active,create,8e291158-0682-47be-8e9b-b70f57028cd4,,5defac73-3f2b-49c8-8b23-3220835b03c2,CSB2,csb2,5,Building,bu,44.974,-16.16
CSB Ambohipananana,active,create,ac2e58f2-d151-4875-82ce-944b8d434813,,990ce31e-0f01-49c7-a52b-0d1df8cbadbd,CSB1,csb1,5,Building,bu,47.237,-20.308
CSB Ambohipandrano,active,create,5c10fb94-9b91-42ef-903c-d9720913c10d,,b885171f-3bfd-4cdd-b0ed-e1f8cc8551fb,CSB1,csb1,5,Building,bu,47.338,-22.798
CSB Ambohipato,active,create,c58cf0f2-62df-4d83-8cbe-afc80971beea,,907074d6-3ff4-46de-a469-3919d1ef189a,CSB2,csb2,5,Building,bu,49.337,-13.61
CSB Ambohipeno,active,create,aeac0f0b-39df-4ab2-be7d-329fb4f83a84,,fd2f9598-c615-4599-b203-c706e44971a1,CSB2,csb2,5,Building,bu,,
CSB Ambohipeno,active,create,e09f4307-818b-46f2-a64e-1cbd48ec88fc,,03e7aa0c-a775-4413-9ab4-b34e336faa47,CSB1,csb1,5,Building,bu,,
CSB Ambohiperivoana,active,create,08da18c3-f74b-4206-a16b-f5e40be3c065,,ae8816ff-619c-4eca-8cab-3697ea42655a,CSB1,csb1,5,Building,bu,47.152,-20.418
CSB Ambohipihaonana,active,create,3ccceb8a-8f81-47f6-b18f-c64f1275921a,,ca937298-2777-4cb0-b3ad-0d03b6895ac8,CSB2,csb2,5,Building,bu,,
CSB Ambohipihaonana,active,create,6f2000a2-9114-4a82-9707-ab657c92a851,,0726afb2-63cc-4b6d-a30f-18c64a3c92b4,CSB2,csb2,5,Building,bu,47.568,-18.819
CSB Ambohipo,active,create,02ca2069-7304-4274-b6a5-ba75f7d15a39,,4a97633c-dc97-478d-a717-b37c3de1385f,CSB2,csb2,5,Building,bu,47.559,-18.85
CSB Ambohipo Sud,active,create,46c2e1cc-38e8-4f69-b5d3-db64aa30e48b,,6b81f551-26a3-408d-b52f-8d12df4040bc,CSB1,csb1,5,Building,bu,47.012,-20.624
CSB Ambohisoa,active,create,50b3d3d9-1b2b-45e2-96a1-5b8090c3ef9c,,90cbb1e4-1f69-491b-b038-c09cd070c5bf,CSB2,csb2,5,Building,bu,48.295,-15.37
CSB Ambohitoaka,active,create,35807ea0-1bd2-4ec3-abd3-8f78532f5f85,,075dca07-2cda-4d87-ac46-52722b5f9ab3,CSB1,csb1,5,Building,bu,47.6538,-15.456
CSB Ambohitompoina Centre,active,create,e6f8e5c3-0063-4933-bef1-79e265bd1412,,965954e7-e157-4230-8cb0-d5badebad7af,CSB2,csb2,5,Building,bu,47.666,-16.496
CSB Ambohitrakatso,active,create,596a08ca-d3f1-44a4-9e69-77239b453977,,a5e56324-dfbe-4373-827e-772232cfc7e0,CSB2,csb2,5,Building,bu,47.747,-18.907
CSB Ambohitrambo,active,create,dd57cd37-badf-4232-8fc7-4bafe7401c67,,f808d337-9dd4-4628-a17a-b896b7efbc13,CSB2,csb2,5,Building,bu,47.179,-22.487
CSB Ambohitrampirana,active,create,b9187464-20eb-4c10-9c55-9ce54810f1f5,,778843d7-ab61-42a3-af0c-aa1e9e2b85aa,CSB1,csb1,5,Building,bu,,
CSB Ambohitrandriamanitra,active,create,6b973cce-265d-4bc5-b74f-a943b433e0a3,,a5e56324-dfbe-4373-827e-772232cfc7e0,CSB2,csb2,5,Building,bu,47.78,-18.906
CSB Ambohitrandriana,active,create,c315275c-817f-4330-bb04-9035c830e916,,76c5f029-5b8b-4430-b382-c8ce0f40b526,CSB2,csb2,5,Building,bu,48.56,-18.694
CSB Ambohitrarivo,active,create,f2911460-bc0d-4bf2-8429-6486b2f0cd6c,,0ab84566-7400-4b38-99e1-7ee8e99dd353,CSB2,csb2,5,Building,bu,48.353,-17.475
CSB Ambohitrimanjaka,active,create,1ff72a8b-6b73-4dae-968b-7ef05b2e6122,,2c69e9b6-e246-4ba6-ab2c-5c3aa421fe2d,CSB2,csb2,5,Building,bu,47.438,-18.815
CSB Ambohitrinibe Ii,active,create,8d2ed49f-bf6c-468b-a5df-927ef9fc3c5b,,8f127dd1-8e58-4d53-b273-bf8945e3e43a,CSB2,csb2,5,Building,bu,47.751,-18.872
